radius_mm,height_mm
0.0,47.175793356584485
0.0751503006012024,47.175793356584485
0.1503006012024048,47.17580423825668
0.2254509018036072,47.17588059287944
0.3006012024048096,47.17605466565404
0.375751503006012,47.176351417329755
0.4509018036072144,47.17679174929475
0.5260521042084167,47.177393886743154
0.6012024048096192,47.17817411994791
0.6763527054108215,47.179147253879925
0.751503006012024,47.18032690362122
0.8266533066132263,47.181725699628096
0.9018036072144288,47.1833554363508
0.9769539078156312,47.18522718327037
1.0521042084168335,47.18735136991409
1.127254509018036,47.18973785222847
1.2024048096192383,47.19239596521878
1.2775551102204408,47.19533456523617
1.352705410821643,47.19856206431071
1.4278557114228456,47.202086458275325
1.503006012024048,47.205915349979165
1.5781563126252502,47.210055968575496
1.6533066132264527,47.2145151856453
1.7284569138276553,47.219299528753844
1.8036072144288575,47.22441519291576
1.87875751503006,47.22986805035209
1.9539078156312624,47.23566365885253
2.029058116232465,47.241807269000915
2.104208416833667,47.248303830479
2.1793587174348694,47.25515799762897
2.254509018036072,47.26237413442718
2.3296593186372743,47.269956318998815
2.4048096192384767,47.27790834778406
2.479959919839679,47.28623373945063
2.5551102204408815,47.29493573863374
2.6302605210420844,47.30401731957328
2.705410821643286,47.31348118970753
2.780561122244489,47.32332979327411
2.8557114228456912,47.33356531496105
2.9308617234468937,47.34418968364359
3.006012024048096,47.35520457623645
3.0811623246492985,47.36661142168519
3.1563126252505005,47.378411405115585
3.231462925851703,47.39060547215487
3.3066132264529053,47.40319433343475
3.3817635270541078,47.41617846928212
3.4569138276553106,47.429558134599894
3.532064128256513,47.44333336393725
3.607214428857715,47.45750397674584
3.6823647294589175,47.47206958281582
3.75751503006012,47.48702958788345
3.8326653306613223,47.50238319940007
3.9078156312625247,47.51812943245052
3.982965931863727,47.53426711580768
4.05811623246493,47.550794898108684
4.133266533066132,47.5677112541374
4.208416833667334,47.58501449119701
4.283567134268536,47.60270275555616
4.358717434869739,47.620774038951744
4.433867735470941,47.639226185131314
4.509018036072144,47.658056896418145
4.584168336673346,47.67726374028228
4.6593186372745485,47.69684415590109
4.734468937875751,47.71679546069349
4.809619238476953,47.73711485681241
4.884769539078156,47.75779943758095
4.959919839679358,47.77884619385819
5.035070140280561,47.8002520203217
5.110220440881763,47.82201372165438
5.1853707414829655,47.84412801862443
5.260521042084169,47.86659155404798
5.3356713426853695,47.889400898624956
5.410821643286572,47.912552556639746
5.485971943887775,47.936042971519036
5.561122244488978,47.95986853124027
5.63627254509018,47.98402557358506
5.7114228456913825,48.00851039123268
5.786573146292585,48.03331923668981
5.861723446893787,48.05844832705332
5.93687374749499,48.08389384860381
6.012024048096192,48.1096519612284
6.087174348697395,48.13571880267176
6.162324649298597,48.162090492615256
6.2374749498997994,48.188763136584534
6.312625250501001,48.215732829686566
6.387775551102203,48.24299566017749
